code,lat,lon,elv,x,y,r,z
ZNJK,  36.671,  48.685,2200.000,-296.346,  79.529, 306.773,2200.000
CSN1,  37.563,  49.095,  18.000,-256.702, 177.416, 311.983,  18.000
MND,  37.237,  55.389, 200.000, 300.725, 142.571, 332.733, 200.000
ZEF,  32.896,  52.329,2320.000,  30.814,-344.407, 345.698,2320.000
ANAR,  33.190,  53.729,1323.000, 161.312,-310.436, 349.758,1323.000
SHRO,  36.008,  56.013,1264.000, 361.774,   8.394, 361.774,1264.000
HALM,  34.860,  48.168,2450.000,-350.481,-119.676, 370.246,2450.000
PIR,  32.684,  50.892,2600.000,-104.029,-367.363, 381.694,2600.000
GAS1,  38.386,  48.840,  29.000,-276.158, 269.456, 385.718,  29.000
GAR,  32.406,  52.047,2020.000,   4.454,-398.765, 398.659,2020.000
MRVT,  37.659,  56.089, 870.000, 360.884, 191.877, 408.582, 870.000
BZA,  34.470,  47.861,2330.000,-380.378,-161.869, 413.242,2330.000
SRB,  37.825,  47.663,1958.000,-381.880, 211.222, 436.232,1958.000
ZNGN,  32.117,  50.854,2662.000,-108.256,-430.230, 443.461,2662.000
HSH,  37.305,  47.264,2146.000,-419.930, 155.225, 447.517,2146.000
BRJ,  31.908,  51.263,2300.000, -69.762,-453.867, 458.998,2300.000
RAM,  31.809,  52.382,2000.000,  36.172,-465.031, 466.227,2000.000
KFM,  33.524,  47.847,1676.000,-385.988,-266.690, 468.948,1676.000
CHK,  32.244,  54.408,1537.000, 227.180,-414.113, 472.119,1537.000
TNSJ,  33.963,  56.609,1123.000, 426.113,-216.143, 477.573,1123.000
GRMI,  38.808,  47.894,1300.000,-356.861, 319.493, 478.759,1300.000
SAD,  31.913,  53.685,2464.000, 159.611,-452.183, 479.300,2464.000
SBZV,  36.388,  57.611,2034.000, 503.369,  57.653, 506.393,2034.000
HRS,  38.318,  47.042,2137.000,-433.762, 268.668, 509.955,2137.000
TAFT,  31.723,  54.171,2036.000, 206.056,-472.470, 515.167,2036.000
GHG,  34.329,  46.568,2060.000,-499.961,-171.707, 528.322,2060.000
DHR,  34.700,  46.387,1840.000,-514.358,-129.680, 530.148,1840.000
TKDS,  33.613,  57.122,1206.000, 475.550,-252.656, 538.181,1206.000
TPRV,  33.028,  56.686,1022.000, 438.067,-319.593, 541.930,1022.000
SFR,  37.052,  58.000,2435.000, 533.719, 133.425, 549.802,2435.000
KLNJ,  31.008,  51.592,2660.000, -39.026,-553.909, 554.931,2660.000
MEH,  31.390,  54.613,1989.000, 248.936,-508.462, 565.757,1989.000
AZR,  37.678,  45.984,2273.000,-530.817, 202.900, 567.897,2273.000
MAHB,  36.767,  45.705,1370.000,-561.995, 103.399, 571.046,1370.000
TBZ,  38.235,  46.150,1550.000,-512.343, 263.850, 575.899,1550.000
SDS1,  36.149,  45.486,1591.000,-586.213,  36.199, 586.914,1591.000
BAF,  31.590,  55.567,1415.000, 339.084,-483.493, 590.122,1415.000
ILBA,  33.624,  46.208, 805.000,-537.723,-248.035, 591.746, 805.000
AHWZ,  31.330,  48.644,  19.000,-319.963,-513.080, 604.218,  19.000
AKL,  36.594,  58.754,2510.000, 604.344,  87.080, 610.119,2510.000
EMG,  37.408,  58.651,2547.000, 588.886, 176.766, 614.367,2547.000
SHB,  38.283,  45.619,2290.000,-558.451, 272.245, 620.785,2290.000
PAY,  36.454,  58.990,2100.000, 626.620,  73.019, 630.346,2100.000
MRD,  38.713,  45.702,2142.000,-548.007, 319.478, 633.809,2142.000
TBHD,  35.413,  59.236,1760.000, 657.231, -40.842, 657.914,1760.000
MOG,  36.108,  59.339,2577.000, 660.785,  36.914, 661.221,2577.000
KRD,  36.776,  59.514,2245.000, 670.815, 112.235, 679.494,2245.000
SHI,  29.637,  52.520,1600.000,  50.519,-706.221, 707.298,1600.000
TEG,  32.897,  58.749,1745.000, 631.924,-323.272, 709.079,1745.000
MYA,  36.344,  60.102,1684.000, 727.285,  68.550, 729.710,1684.000
MAKU,  39.355,  44.684,1730.000,-631.059, 397.140, 744.775,1730.000
KHGB,  30.376,  56.477,1800.000, 431.361,-615.057, 750.375,1800.000
BAGH,  32.782,  59.205,2581.000, 675.530,-333.000, 752.271,2581.000
JRKH,  35.908,  60.349,1206.000, 753.644,  22.079, 753.089,1206.000
KOO,  32.424,  59.004,1940.000, 659.485,-374.085, 757.303,1940.000
TBJM,  35.268,  60.329,1741.000, 757.879, -49.078, 758.569,1741.000
MON,  33.192,  59.667,2368.000, 715.384,-284.316, 768.877,2368.000
BSRN,  31.965,  59.126,1416.000, 674.491,-424.255, 795.789,1416.000
SHRT,  33.646,  60.291, 837.000, 769.477,-229.306, 801.857, 837.000
DAH,  32.739,  59.868,2341.000, 738.094,-333.171, 808.718,2341.000
DSBU,  28.363,  51.260, 656.000, -72.845,-847.927, 849.787, 656.000
CHMN,  29.861,  57.539,2564.000, 536.809,-667.364, 855.183,2564.000
NHDN,  31.393,  60.050,1307.000, 766.989,-481.324, 903.989,1307.000
MZN1,  28.059,  54.652, 780.000, 261.942,-878.789, 915.418, 780.000
BNDS,  27.399,  56.171,1500.000, 414.912,-947.479,1032.080,1500.000
ZHSF,  29.611,  60.767,1575.000, 851.987,-673.863,1083.645,1575.000
SRVN,  27.403,  62.398,1352.000,1034.619,-905.384,1369.530,1352.000
